id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
1669,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","The Stalker","Dark Grey Air Supply Amulet","Caddypack","Simple Regulator","Union of Merchants"
1670,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Boxhead","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Subsurface Miners Guild"
1671,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","The Pillowcase","None","None","None","Roving Terror"
1672,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","None","Fancypack","Heavy Duty Regulator","Engineers Guild"
1673,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Rustler's Braincage","None","Fancypack","Heavy Duty Regulator","Mesmegraph"
1674,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Trailmaker","None","Fancypack","Multiband Regulator","Union of Merchants"
1675,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Hardhat","Medium Grey Air Supply Amulet","Bobpack","Simple Regulator","Mark Stay"
1676,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Medium Grey Air Supply Amulet","Bobpack","Simple Regulator","League of Channel"
1677,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","Caddypack","Multiband Regulator","Beshtala Expatriation Roster"
1678,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Kipper","None","None","None","No Damage"
1679,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Trailmaker","Medium Grey Sanity Amulet","Bobpack","None","Mol Bon Tunnel"
1680,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Backstab Squeezebox","Light Grey Decontamination Amulet","None","Fine Tool Harness","The Path"
1681,"The Spunker","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Solid","Smocker","Kipper","White Air Supply Amulet","Fancypack","Multiband Regulator","The Man Earlie Expeditionary Society"
1682,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","Good King Maude","None","Little Huffy","Heavy Duty Regulator","Survivalist Guild"
1683,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Boxhead","None","None","None","League of Channel"
1684,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Headforge","None","Caddypack","Heavy Duty Regulator","Free Fringe"
1685,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Trailmaker","Medium Grey Sanity Amulet","Bobpack","Simple Regulator","Union of Merchants"
1686,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Rustler's Braincage","White Air Supply Amulet","Little Huffy","Simple Regulator","League of Channel"
1687,"The Spunker","Drifter","Hypervisor","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Kipper","Light Grey Decontamination Amulet","Caddypack","None","The Pyramid Order"
1688,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Good King Maude","Light Grey Suit Integrity Amulet","None","None","Saddler Racing League"
1689,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Trailmaker","Medium Grey Drippy Charm","Little Huffy","Heavy Duty Regulator","Combustible"
1690,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Trailmaker","Medium Grey Drippy Charm","None","None","The Bench"
1691,"Bolt Harp","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Hangtooth","White Air Supply Amulet","Little Huffy","Encased Regulator","Freebooters Flag"
1692,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Rustler's Braincage","Medium Grey Sanity Amulet","Bobpack","Heavy Duty Regulator","The Path"
1693,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","The Spyhopper","None","None","None","Free Fringe"
1694,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Pillowcase","None","The Sink","Encased Regulator","Longhaulers"
1695,"Wedge","Drifter","None","None","Yes","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","Puffy Face","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","Deepsatch"
1696,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Good King Maude","Light Grey Milo Charm","The Sink","Simple Regulator","Cross of the Round Power"
1697,"Prongseat","Drifter","Leergear","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Kipper","None","None","None","Orbital Miners Guild"
1698,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Boxhead","None","Fancypack","Simple Regulator","Combustible"
1699,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","The Spyhopper","Light Grey Air Supply Amulet","Caddypack","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
1700,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Kipper","White Drippy Charm","Caddypack","None","The Man Earlie Expeditionary Society"
1701,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Hangtooth","None","The Sink","Heavy Duty Regulator","Engineers Guild"
1702,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Hangtooth","Yellow Drippy Charm","Caddypack","Multiband Regulator","Union of Merchants"
1703,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Boxhead","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Lighthouse Sept"
1704,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","Puffy Face","Dark Grey Decontamination Amulet","Bobpack","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
1705,"Wedge","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","The Pillowcase","None","The Sink","Simple Regulator","The Bench"
1706,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Boxhead","None","Fancypack","None","Combustible"
1707,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","The Scaper","Light Grey Air Supply Amulet","Caddypack","Simple Regulator","Topography Society"
1708,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Stalker","None","None","Utility Vest","Survivalist Guild"
1709,"Wedge","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","The Pillowcase","None","Caddypack","Encased Regulator","Beshtala Expatriation Roster"
1710,"Hull Hooker","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Good King Maude","None","None","None","The Bench"
1711,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","The Pillowcase","Light Grey Milo Charm","The Sink","None","Roving Terror"
1712,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hardhat","None","Fancypack","Heavy Duty Regulator","Saddler Racing League"
1713,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Good King Maude","Medium Grey Air Supply Amulet","The Sink","Heavy Duty Regulator","Beshtala Expatriation Roster"
1714,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Boxhead","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Subsurface Miners Guild"
1715,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Rustler's Braincage","Light Grey Milo Charm","The Sink","Simple Regulator","Longhaulers"
1716,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","Yellow Air Supply Amulet","Little Huffy","Multiband Regulator","Beshtala-Chanko"
1717,"Trunker","Drifter","Hypervisor","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Kipper","Medium Grey Sanity Amulet","Little Huffy","Encased Regulator","The Pyramid Order"
1718,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Sacred Passage","Smocker","The Stalker","Dark Grey Milo Charm","Little Huffy","Encased Regulator","The Man Earlie Expeditionary Society"
1719,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Puffy Face","None","None","None","Subsurface Miners Guild"
1720,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Puffy Face","None","The Sink","None","Slash Patcher"
1721,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","Rustler's Braincage","Yellow Drippy Charm","Caddypack","Fine Tool Harness","League of Channel"
1722,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Headforge","None","None","Utility Vest","Engineers Guild"
1723,"The Spunker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Pillowcase","Medium Grey Air Supply Amulet","Little Huffy","Simple Regulator","The Path"
1724,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hardhat","None","None","None","Venonauts"
1725,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Smocker","Headforge","Dark Grey Milo Charm","Caddypack","Simple Regulator","The Path"
1726,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Chords","Smocker","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Beshtala-Chanko"
1727,"Prongseat","Drifter","Leergear","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Kipper","None","None","Utility Vest","Mesmegraph"
1728,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Hangtooth","None","Little Huffy","Heavy Duty Regulator","Combustible"
1729,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","None","Bobpack","None","Subsurface Miners Guild"
1730,"Hull Hooker","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Trailmaker","None","None","Fine Tool Harness","House of Ourbous"
1731,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Hardhat","None","None","Fine Tool Harness","Cross of the Round Power"
1732,"Everdull Snippies","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Rustler's Braincage","None","Little Huffy","Simple Regulator","The Pyramid Order"
1733,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Boxhead","None","The Sink","Encased Regulator","Union of Merchants"
1734,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","The Pillowcase","None","None","Utility Vest","Engineers Guild"
1735,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Headforge","None","None","None","The Forsaken"
1736,"Thruster","Drifter","Leergear","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","BC Shiner","White Air Supply Amulet","Little Huffy","Simple Regulator","No Damage"
1737,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Headforge","Light Grey Milo Charm","Fancypack","Heavy Duty Regulator","Beshtala-Chanko"
1738,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","Good King Maude","Red Sanity Amulet","The Sink","Fine Tool Harness","Orbital Miners Guild"
1739,"Thruster","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Rustler's Braincage","Light Grey Milo Charm","The Sink","None","Cathedral"
1740,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Hangtooth","Red Sanity Amulet","The Sink","Encased Regulator","Venonauts"
1741,"Trunker","Drifter","None","None","None","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hangtooth","None","The Sink","Encased Regulator","The Path"
1742,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","BC Shiner","None","None","None","Topography Society"
1743,"Thruster","Drifter","None","None","None","Phase 2","The Void","White","Scripture","Kreegal Cloak","Headforge","None","None","None","Mesmegraph"
1744,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Deverin Jacket","The Spyhopper","None","The Sink","Fine Tool Harness","The Man Earlie Expeditionary Society"
1745,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Smocker","Hangtooth","Yellow Drippy Charm","Bobpack","Simple Regulator","The Man Earlie Expeditionary Society"
1746,"Roulette","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Kipper","White Air Supply Amulet","Fancypack","Heavy Duty Regulator","The Pyramid Order"
1747,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Stalker","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","Beshtala-Chanko"
1748,"Hull Hooker","Drifter","None","None","None","Phase 2","The Void","White","Cowl","Smocker","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","Margul"
1749,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","Medium Grey Drippy Charm","The Sink","Encased Regulator","Survivalist Guild"
1750,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","The Spyhopper","None","None","None","The Forsaken"
1751,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hangtooth","None","None","None","No Damage"
1752,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","Caddypack","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
1753,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Boxhead","None","Caddypack","Multiband Regulator","Lighthouse Sept"
1754,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Kreegal Cloak","The Scaper","None","None","None","Union of Merchants"
1755,"Trunker","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","Light Grey Suit Integrity Amulet","The Sink","Simple Regulator","The Man Earlie Expeditionary Society"
1756,"Roulette","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Solid","Smocker","BC Shiner","None","Fancypack","Simple Regulator","The Borsch Conservatory of Gastrotechs"
