id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
2149,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Solid","Encased Regulator","Deverin Jacket","White","The Pyramid Order","None","Dark Grey Sanity Amulet"
2150,"Kipper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Yellow","Venonauts","None","Light Grey Decontamination Amulet"
2151,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Topography Society","Yes","White Air Supply Amulet"
2152,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Longhaulers","Yes","None"
2153,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","Utility Vest","Vayon Worksuit","Black","Mercenary","None","None"
2154,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Freebooters Flag","Yes","Medium Grey Air Supply Amulet"
2155,"Soup Gagers","The Void","Fancypack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Multiband Regulator","Smocker","White","Wings","None","Dark Grey Decontamination Amulet"
2156,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Vayon Worksuit","Gray","Cathedral","None","None"
2157,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Prongshell","Red","House of Ourbous","None","None"
2158,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Solid","None","Kreegal Cloak","Gray","Survivalist Guild","None","None"
2159,"BC Shiner","The Void","Caddypack","Phase 2","Drifter","Driftcore Shades","None","Hole Puncher","Solid","Multiband Regulator","Deverin Jacket","Gray","Longhaulers","Yes","None"
2160,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cowl","Encased Regulator","Smocker","Green","Venonauts","None","Light Grey Milo Charm"
2161,"Headforge","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","White","The Path","None","None"
2162,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Ricochet","Simple Regulator","Vayon Worksuit","Gray","League of Channel","Yes","None"
2163,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","Chainflicker","Sacred Passage","Simple Regulator","Smocker","Yellow","Deepsatch","None","None"
2164,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","Yes","None"
2165,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Cove Carver","Solid","Encased Regulator","Vayon Worksuit","Gray","Orbital Miners Guild","Yes","None"
2166,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Faulk's Icepick","Foss","None","Vayon Worksuit","Yellow","Dark Ether House","None","Light Grey Air Supply Amulet"
2167,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Prongshell","Green","Orbital Miners Guild","None","None"
2168,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Cove Carver","Cowl","Heavy Duty Regulator","Smocker","Yellow","Engineers Guild","Yes","Medium Grey Air Supply Amulet"
2169,"Trailmaker","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","None","Smocker","Green","Lighthouse Sept","None","Light Grey Milo Charm"
2170,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Cowl","None","Smocker","Yellow","Saddler Racing League","Yes","White Air Supply Amulet"
2171,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Eye Patch","None","Roulette","Cap Flag","None","Smocker","Red","Roving Terror","Yes","White Drippy Charm"
2172,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Chords","Simple Regulator","Smocker","Black","Cross of the Round Power","Yes","None"
2173,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Foss","Utility Vest","Vayon Worksuit","Yellow","Freebooters Flag","None","Medium Grey Drippy Charm"
2174,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Saddler Racing League","Yes","None"
2175,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","None","Smocker","Red","Deepsatch","None","Light Grey Suit Integrity Amulet"
2176,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Solid","Simple Regulator","Deverin Jacket","White","The Path","None","None"
2177,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","None","Prongshell","Green","Cross of the Round Power","None","Light Grey Decontamination Amulet"
2178,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Vayon Worksuit","Black","Machinist Social Club","Yes","None"
2179,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Multiband Regulator","Kreegal Cloak","Red","Slash Patcher","None","Light Grey Air Supply Amulet"
2180,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","Hypervisor","None","Wedge","Solid","Encased Regulator","Smocker","Black","Mesmegraph","None","None"
2181,"Puffy Face","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Arvis Edition","Encased Regulator","Deverin Jacket","Red","The Borsch Conservatory of Gastrotechs","Yes","None"
2182,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","None","Smocker","Gray","Mark Stay","None","Dark Grey Sanity Amulet"
2183,"The Spyhopper","The Void","Bobpack","Phase 2","Drifter","None","None","Thruster","Cap Flag","None","Smocker","Green","Mesmegraph","None","Medium Grey Sanity Amulet"
2184,"The Pillowcase","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Cove Stalkers","None","Yellow Drippy Charm"
2185,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cowl","Encased Regulator","Smocker","Green","Engineers Guild","None","Light Grey Suit Integrity Amulet"
2186,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Cathedral","None","None"
2187,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Prongshell","Green","No Damage","None","None"
2188,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Wedge","Scripture","Multiband Regulator","Kreegal Cloak","Gray","The Man Earlie Expeditionary Society","Yes","Medium Grey Air Supply Amulet"
2189,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Simple Regulator","Deverin Jacket","Gray","Subsurface Miners Guild","None","White Air Supply Amulet"
2190,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","Black","Longhaulers","None","None"
2191,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","Longhaulers","None","Medium Grey Sanity Amulet"
2192,"The Pillowcase","The Void","None","Phase 2","Drifter","Hypervisor","None","Prongseat","Solid","None","Prongshell","Black","Engineers Guild","None","None"
2193,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","Simple Regulator","Smocker","Blue","Dark Ether House","None","None"
2194,"Kipper","The Void","The Sink","Phase 2","Drifter","Leergear","None","Ball Claw","Solid","Multiband Regulator","Vayon Worksuit","Gray","Saddler Racing League","None","Light Grey Milo Charm"
2195,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Cowl","None","Smocker","Red","The Bench","Yes","Dark Grey Air Supply Amulet"
2196,"The Scaper","The Void","The Sink","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","Multiband Regulator","Smocker","Green","House of Ourbous","None","Light Grey Milo Charm"
2197,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","None","Smocker","Green","Saddler Racing League","None","None"
2198,"Kipper","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Prongseat","Strapt","Utility Vest","Duggie","Black","Dugall Freight","None","None"
2199,"Puffy Face","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","None","Vayon Worksuit","White","The Borsch Conservatory of Gastrotechs","None","Light Grey Decontamination Amulet"
2200,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Solid","Encased Regulator","Deverin Jacket","Red","Lighthouse Sept","Yes","Red Air Supply Amulet"
2201,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Path","None","Medium Grey Sanity Amulet"
2202,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Arvis Edition","Encased Regulator","Deverin Jacket","Red","Roving Terror","None","None"
2203,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Roulette","Cap Flag","Heavy Duty Regulator","Smocker","Green","League of Channel","None","White Drippy Charm"
2204,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","The Nozzle","Cowl","Simple Regulator","Smocker","Red","Cove Stalkers","None","None"
2205,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Foss","Fine Tool Harness","Vayon Worksuit","Green","The Path","None","None"
2206,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Simple Regulator","Smocker","Green","Cove Stalkers","Yes","Medium Grey Drippy Charm"
2207,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Cap Flag","Simple Regulator","Smocker","Yellow","Engineers Guild","None","Light Grey Suit Integrity Amulet"
2208,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Cowl","Heavy Duty Regulator","Smocker","Yellow","The Path","Yes","None"
2209,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","Death Beam","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Survivalist Guild","None","Yellow Drippy Charm"
2210,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","Yes","White Air Supply Amulet"
2211,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Thruster","Cowl","Encased Regulator","Smocker","White","The Path","None","Dark Grey Drippy Charm"
2212,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Faulk's Icepick","Sacred Passage","Simple Regulator","Smocker","Green","Free Fringe","None","None"
2213,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Driftcore Shades","None","The Nozzle","Scripture","Multiband Regulator","Kreegal Cloak","Gray","Beshtala Expatriation Roster","Yes","Light Grey Suit Integrity Amulet"
2214,"Kipper","The Void","None","Phase 2","Drifter","Eye Patch","None","Roulette","Foss","Utility Vest","Vayon Worksuit","White","No Damage","None","White Drippy Charm"
2215,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Roulette","Cowl","Simple Regulator","Smocker","Red","Beshtala Expatriation Roster","Yes","Red Air Supply Amulet"
2216,"The Spyhopper","The Void","Little Huffy","Phase 2","Drifter","None","None","Chainflicker","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Beshtala Expatriation Roster","Yes","None"
2217,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","Cove Carver","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","The Bench","None","None"
2218,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","Leergear","None","The (Fat) Koltso","Solid","Multiband Regulator","Vayon Worksuit","Gray","Roving Terror","None","White Drippy Charm"
2219,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Scripture","None","Kreegal Cloak","Gray","Beshtala Expatriation Roster","None","None"
2220,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Cowl","None","Smocker","White","The Bench","None","None"
2221,"Kipper","The Void","None","Phase 2","Drifter","Leergear","None","The Nozzle","Solid","None","Prongshell","Red","The Pyramid Order","None","Light Grey Suit Integrity Amulet"
2222,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Solid","Fine Tool Harness","Deverin Jacket","Green","Deepsatch","None","None"
2223,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","Roulette","Cowl","None","Smocker","Red","The Path","None","None"
2224,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Foss","None","Vayon Worksuit","Yellow","No Damage","None","Light Grey Suit Integrity Amulet"
2225,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Steady Hammer","Solid","None","Prongshell","Red","Roving Terror","None","None"
2226,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","None","Vayon Worksuit","Red","Dugall Freight","None","None"
2227,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","Eye Patch","None","The Shriek","Solid","Fine Tool Harness","Deverin Jacket","Green","Beshtala Expatriation Roster","Yes","Light Grey Milo Charm"
2228,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Yellow","Cathedral","None","White Air Supply Amulet"
2229,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Combustible","None","White Drippy Charm"
2230,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Kreegal Cloak","Yellow","Union of Merchants","None","None"
2231,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Saddler Racing League","Yes","White Air Supply Amulet"
2232,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Engineers Guild","None","White Drippy Charm"
2233,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Thruster","Sacred Passage","None","Smocker","Green","Topography Society","None","None"
2234,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Simple Regulator","Smocker","Yellow","Beshtala-Chanko","None","White Air Supply Amulet"
2235,"Rustler's Braincage","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Multiband Regulator","Smocker","Green","The Pyramid Order","None","Medium Grey Sanity Amulet"
2236,"The Stalker","The Void","Bobpack","Phase 2","Drifter","None","None","Roulette","Cowl","None","Smocker","Yellow","The Path","None","White Drippy Charm"
2237,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","The Shriek","Chords","None","Smocker","Black","Grid Gang","None","Dark Grey Sanity Amulet"
2238,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Cowl","Simple Regulator","Smocker","Red","Roving Terror","Yes","White Air Supply Amulet"
2239,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Cross of the Round Power","None","Light Grey Suit Integrity Amulet"
2240,"Soup Gagers","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Utility Vest","Vayon Worksuit","Black","Wings","None","Dark Grey Milo Charm"
2241,"Dugall Freight Pillowcase","The Void","Bombshot Fuel Cell","Phase 2","Freight Wars Veterans","None","Powerjuice Mixer","Kickback Bombshot","None","None","Dugall Freight Smocker","Dugall","Dugall Freight","None","None"
2242,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Foss","Utility Vest","Vayon Worksuit","Yellow","Dark Ether House","None","None"
2243,"Trailmaker","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Sacred Passage","Simple Regulator","Smocker","Yellow","Subsurface Miners Guild","None","Light Grey Milo Charm"
2244,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Beshtala-Chanko","Yes","None"
2245,"Hardhat","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","Utility Vest","Vayon Worksuit","Yellow","Venonauts","None","Light Grey Milo Charm"
2246,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Cowl","None","Smocker","Red","House of Ourbous","None","Dark Grey Drippy Charm"
2247,"Backstab Squeezebox","The Void","Bobpack","Phase 2","Drifter","None","None","Death Beam","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Slash Patcher","None","Yellow Drippy Charm"
2248,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Ball Claw","Solid","Utility Vest","Vayon Worksuit","Black","Dugall Freight","None","None"
2249,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Sacred Passage","Encased Regulator","Smocker","Red","Survivalist Guild","None","None"
2250,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Simple Regulator","Smocker","Yellow","Survivalist Guild","Yes","Light Grey Suit Integrity Amulet"
2251,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","The Man Earlie Expeditionary Society","Yes","None"
2252,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","Subsurface Miners Guild","None","None"
2253,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Simple Regulator","Smocker","Green","The Bench","Yes","None"
2254,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Ball Claw","Solid","Encased Regulator","Vayon Worksuit","Gray","Orbital Miners Guild","Yes","None"
2255,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Scripture","Heavy Duty Regulator","Kreegal Cloak","Gray","Freebooters Flag","None","Yellow Drippy Charm"
2256,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","Yes","None"
2257,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Cowl","None","Smocker","Yellow","Engineers Guild","None","White Drippy Charm"
2258,"BC Shiner","The Void","Fancypack","Phase 2","Drifter","Driftcore Shades","None","The Spunker","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Orbital Miners Guild","None","Light Grey Suit Integrity Amulet"
2259,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Multiband Regulator","Smocker","Green","Mesmegraph","Yes","Yellow Air Supply Amulet"
2260,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Thruster","Cowl","None","Smocker","Blue","Beshtala Expatriation Roster","None","None"
2261,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","No Damage","None","None"
2262,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Cowl","Encased Regulator","Smocker","Green","Beshtala-Chanko","None","Dark Grey Decontamination Amulet"
2263,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","Survivalist Guild","None","Light Grey Milo Charm"
2264,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Scripture","Multiband Regulator","Kreegal Cloak","Gray","No Damage","None","Medium Grey Drippy Charm"
2265,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","Steady Hammer","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","The Man Earlie Expeditionary Society","None","None"
2266,"The Scaper","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Cross of the Round Power","None","Medium Grey Sanity Amulet"
2267,"Kipper","The Void","None","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","None","Prongshell","Green","The Man Earlie Expeditionary Society","None","Light Grey Air Supply Amulet"
2268,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Hooker","Sacred Passage","Heavy Duty Regulator","Smocker","Green","No Damage","Yes","White Suit Integrity Amulet"
2269,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Foss","Fine Tool Harness","Vayon Worksuit","Green","Mercenary","None","None"
2270,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","The Bench","Yes","Light Grey Air Supply Amulet"
2271,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","None","Smocker","Red","Dugall Freight","None","None"
2272,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Cove Carver","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","The Path","Yes","Yellow Drippy Charm"
2273,"BC Shiner","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Chords","Encased Regulator","Smocker","Gray","Slash Patcher","Yes","None"
2274,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Strapt","Simple Regulator","Duggie","Black","No Damage","None","None"
2275,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Solid","Fine Tool Harness","Vayon Worksuit","Gray","League of Channel","None","Medium Grey Sanity Amulet"
2276,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The Koltso","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Dugall Freight","None","Light Grey Suit Integrity Amulet"
2277,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Prongseat","Foss","None","Vayon Worksuit","Red","Longhaulers","None","Light Grey Decontamination Amulet"
2278,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","The Nozzle","Scripture","Heavy Duty Regulator","Kreegal Cloak","Gray","Machinist Social Club","Yes","White Air Supply Amulet"
2279,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Chords","Simple Regulator","Smocker","Black","Dugall Freight","None","Dark Grey Sanity Amulet"
2280,"Hardhat","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Cove Stalkers","None","Medium Grey Sanity Amulet"
2281,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","The Pyramid Order","Yes","Medium Grey Drippy Charm"
2282,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Encased Regulator","Smocker","Red","The Bench","Yes","None"
2283,"The Pillowcase","The Void","The Sink","Phase 2","Drifter","Hypervisor","None","The Spunker","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Combustible","None","Light Grey Milo Charm"
2284,"The Spyhopper","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Encased Regulator","Vayon Worksuit","Gray","Dark Ether House","None","Medium Grey Sanity Amulet"
2285,"Kipper","The Void","Caddypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Orbital Miners Guild","None","Light Grey Air Supply Amulet"
2286,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Smocker","Gray","The Man Earlie Expeditionary Society","None","None"
2287,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","None","Smocker","Red","Dugall Freight","Yes","Red Air Supply Amulet"
2288,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Sacred Passage","Heavy Duty Regulator","Smocker","Yellow","Cathedral","None","Light Grey Suit Integrity Amulet"
2289,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Death Beam","Sacred Passage","None","Smocker","Gray","Cathedral","None","None"
2290,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","Trunker","Solid","Multiband Regulator","Kreegal Cloak","Red","Venonauts","Yes","Yellow Air Supply Amulet"
2291,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Death Beam","Foss","None","Vayon Worksuit","Green","Beshtala-Chanko","None","None"
2292,"Soup Gagers","The Void","Bobpack","Phase 2","Drifter","None","None","The Koltso","Sacred Passage","Encased Regulator","Smocker","Red","Margul","None","Dark Grey Decontamination Amulet"
2293,"Puffy Face","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Solid","Simple Regulator","Deverin Jacket","Red","Subsurface Miners Guild","Yes","Dark Grey Sanity Amulet"
2294,"BC Shiner","The Void","None","Phase 2","Drifter","Leergear","None","Hull Breacher","Foss","None","Vayon Worksuit","White","The Pyramid Order","None","None"
2295,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","The Bench","None","Medium Grey Sanity Amulet"
2296,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Beshtala Expatriation Roster","Yes","None"
2297,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","Chainflicker","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","Beshtala Expatriation Roster","Yes","None"
2298,"Trailmaker","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Mol Bon Tunnel","None","Light Grey Suit Integrity Amulet"
2299,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Longhaulers","Yes","None"
2300,"Kipper","The Void","Fancypack","Phase 2","Drifter","Hypervisor","None","Chainflicker","Chords","Multiband Regulator","Smocker","Black","Cathedral","None","Dark Grey Drippy Charm"
2301,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","The Man Earlie Expeditionary Society","Yes","None"
2302,"Kipper","The Void","None","Phase 2","Drifter","None","None","Wedge","Sacred Passage","None","Smocker","Green","Beshtala Expatriation Roster","None","None"
2303,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Multiband Regulator","Vayon Worksuit","Gray","Beshtala Expatriation Roster","None","White Air Supply Amulet"
2304,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Chords","Simple Regulator","Smocker","Gray","The Forsaken","Yes","Light Grey Air Supply Amulet"
2305,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Solid","Multiband Regulator","Vayon Worksuit","Black","The Path","Yes","None"
2306,"The Pillowcase","The Void","None","Phase 2","Drifter","Driftcore Shades","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Black","Engineers Guild","None","None"
