id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
1665,"Hull Breacher","Little Huffy","Drifter","None","Subsurface Miners Guild","Trailmaker","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","None"
1666,"The (Fat) Koltso","None","Drifter","None","Beshtala Expatriation Roster","Kipper","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Drippy Charm"
1667,"Trunker","Little Huffy","Drifter","None","Beshtala Expatriation Roster","Hardhat","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","None"
1668,"Trunker","Little Huffy","Drifter","None","Union of Merchants","The Pillowcase","Leergear","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Sanity Amulet"
1669,"Hull Breacher","Caddypack","Drifter","None","Union of Merchants","The Stalker","None","The Void","Phase 2","None","Duggie","Simple Regulator","None","Black","Strapt","Dark Grey Air Supply Amulet"
1670,"Hull Breacher","Little Huffy","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","White Air Supply Amulet"
1671,"Ball Claw","None","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
1672,"Bolt Harp","Fancypack","Drifter","None","Engineers Guild","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
1673,"Hull Breacher","Fancypack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1674,"Steady Hammer","Fancypack","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
1675,"Hole Puncher","Bobpack","Drifter","None","Mark Stay","Hardhat","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Blue","Cowl","Medium Grey Air Supply Amulet"
1676,"Hole Puncher","Bobpack","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Air Supply Amulet"
1677,"Bolt Harp","Caddypack","Drifter","None","Beshtala Expatriation Roster","Good King Maude","None","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","None"
1678,"Cove Carver","None","Drifter","None","No Damage","Kipper","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
1679,"Hole Puncher","Bobpack","Drifter","None","Mol Bon Tunnel","Trailmaker","None","The Void","Phase 2","None","Smocker","None","None","Red","Cap Flag","Medium Grey Sanity Amulet"
1680,"Prongseat","None","Drifter","None","The Path","Backstab Squeezebox","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","Light Grey Decontamination Amulet"
1681,"The Spunker","Fancypack","Drifter","None","The Man Earlie Expeditionary Society","Kipper","Driftcore Shades","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
1682,"Trunker","Little Huffy","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","None"
1683,"Bolt Harp","None","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
1684,"Thruster","Caddypack","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
1685,"Cove Carver","Bobpack","Drifter","None","Union of Merchants","Trailmaker","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Medium Grey Sanity Amulet"
1686,"Thruster","Little Huffy","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","Red","Solid","White Air Supply Amulet"
1687,"The Spunker","Caddypack","Drifter","None","The Pyramid Order","Kipper","Hypervisor","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Light Grey Decontamination Amulet"
1688,"The Nozzle","None","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Light Grey Suit Integrity Amulet"
1689,"The (Fat) Koltso","Little Huffy","Drifter","None","Combustible","Trailmaker","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","Medium Grey Drippy Charm"
1690,"The (Fat) Koltso","None","Drifter","None","The Bench","Trailmaker","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Drippy Charm"
1691,"Bolt Harp","Little Huffy","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","White Air Supply Amulet"
1692,"Steady Hammer","Bobpack","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Medium Grey Sanity Amulet"
1693,"Prongseat","None","Drifter","None","Free Fringe","The Spyhopper","None","The Void","Phase 2","None","Smocker","None","None","Black","Solid","None"
1694,"Death Beam","The Sink","Drifter","None","Longhaulers","The Pillowcase","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Gray","Solid","None"
1695,"Wedge","Little Huffy","Drifter","None","Deepsatch","Puffy Face","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","White Air Supply Amulet"
1696,"The (Fat) Koltso","The Sink","Drifter","None","Cross of the Round Power","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","Light Grey Milo Charm"
1697,"Prongseat","None","Drifter","None","Orbital Miners Guild","Kipper","Leergear","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","None"
1698,"Steady Hammer","Fancypack","Drifter","None","Combustible","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","None"
1699,"Faulk's Icepick","Caddypack","Drifter","None","The Borsch Conservatory of Gastrotechs","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Sacred Passage","Light Grey Air Supply Amulet"
1700,"Steady Hammer","Caddypack","Drifter","None","The Man Earlie Expeditionary Society","Kipper","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","White Drippy Charm"
1701,"Bolt Harp","The Sink","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1702,"Hull Breacher","Caddypack","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Yellow Drippy Charm"
1703,"Hull Breacher","The Sink","Drifter","None","Lighthouse Sept","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Suit Integrity Amulet"
1704,"Hull Breacher","Bobpack","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Black","Solid","Dark Grey Decontamination Amulet"
1705,"Wedge","The Sink","Drifter","None","The Bench","The Pillowcase","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Sacred Passage","None"
1706,"Hull Breacher","Fancypack","Drifter","None","Combustible","Boxhead","None","The Void","Phase 2","None","Smocker","None","None","Green","Cap Flag","None"
1707,"Faulk's Icepick","Caddypack","Drifter","None","Topography Society","The Scaper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Chords","Light Grey Air Supply Amulet"
1708,"Hull Breacher","None","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
1709,"Wedge","Caddypack","Drifter","None","Beshtala Expatriation Roster","The Pillowcase","Driftcore Shades","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","None"
1710,"Hull Hooker","None","Drifter","None","The Bench","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Yellow","Foss","None"
1711,"Hull Breacher","The Sink","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","Light Grey Milo Charm"
1712,"Hull Breacher","Fancypack","Drifter","None","Saddler Racing League","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1713,"Hole Puncher","The Sink","Drifter","None","Beshtala Expatriation Roster","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Medium Grey Air Supply Amulet"
1714,"The (Fat) Koltso","The Sink","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","White","Cap Flag","Light Grey Suit Integrity Amulet"
1715,"Bolt Harp","The Sink","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Light Grey Milo Charm"
1716,"Steady Hammer","Little Huffy","Drifter","None","Beshtala-Chanko","Headforge","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Red","Cap Flag","Yellow Air Supply Amulet"
1717,"Trunker","Little Huffy","Drifter","None","The Pyramid Order","Kipper","Hypervisor","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Medium Grey Sanity Amulet"
1718,"The (Fat) Koltso","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","The Stalker","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","Dark Grey Milo Charm"
1719,"Hull Breacher","None","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
1720,"Thruster","The Sink","Drifter","None","Slash Patcher","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","None"
1721,"The (Fat) Koltso","Caddypack","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","White","Solid","Yellow Drippy Charm"
1722,"The Shriek","None","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1723,"The Spunker","Little Huffy","Drifter","None","The Path","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Air Supply Amulet"
1724,"The Nozzle","None","Drifter","None","Venonauts","Hardhat","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
1725,"The (Fat) Koltso","Caddypack","Drifter","None","The Path","Headforge","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Black","Solid","Dark Grey Milo Charm"
1726,"The Koltso","Fancypack","Drifter","None","Beshtala-Chanko","Puffy Face","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Chords","Light Grey Suit Integrity Amulet"
1727,"Prongseat","None","Drifter","None","Mesmegraph","Kipper","Leergear","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1728,"The (Fat) Koltso","Little Huffy","Drifter","None","Combustible","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
1729,"Steady Hammer","Bobpack","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","None"
1730,"Hull Hooker","None","Drifter","None","House of Ourbous","Trailmaker","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","None"
1731,"Steady Hammer","None","Drifter","None","Cross of the Round Power","Hardhat","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Green","Foss","None"
1732,"Everdull Snippies","Little Huffy","Drifter","None","The Pyramid Order","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
1733,"Hull Breacher","The Sink","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
1734,"Faulk's Icepick","None","Drifter","None","Engineers Guild","The Pillowcase","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1735,"Hull Breacher","None","Drifter","None","The Forsaken","Headforge","None","The Void","Phase 2","None","Smocker","None","None","Black","Chords","None"
1736,"Thruster","Little Huffy","Drifter","None","No Damage","BC Shiner","Leergear","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Green","Sacred Passage","White Air Supply Amulet"
1737,"The Shriek","Fancypack","Drifter","None","Beshtala-Chanko","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","Light Grey Milo Charm"
1738,"The (Fat) Koltso","The Sink","Drifter","None","Orbital Miners Guild","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Gray","Solid","Red Sanity Amulet"
1739,"Thruster","The Sink","Drifter","None","Cathedral","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","Green","Cap Flag","Light Grey Milo Charm"
1740,"Bolt Harp","The Sink","Drifter","None","Venonauts","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Gray","Solid","Red Sanity Amulet"
1741,"Trunker","The Sink","Drifter","None","The Path","Hangtooth","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","None"
1742,"Trunker","None","Drifter","None","Topography Society","BC Shiner","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
1743,"Thruster","None","Drifter","None","Mesmegraph","Headforge","None","The Void","Phase 2","None","Kreegal Cloak","None","None","White","Scripture","None"
1744,"The (Fat) Koltso","The Sink","Drifter","None","The Man Earlie Expeditionary Society","The Spyhopper","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Gray","Solid","None"
1745,"Thruster","Bobpack","Drifter","None","The Man Earlie Expeditionary Society","Hangtooth","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Gray","Solid","Yellow Drippy Charm"
1746,"Roulette","Fancypack","Drifter","None","The Pyramid Order","Kipper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","White Air Supply Amulet"
1747,"The Koltso","Caddypack","Drifter","None","Beshtala-Chanko","The Stalker","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","Yellow Drippy Charm"
